date,GfK,Atos,"Credit Suisse",Cisco,Teradata,Nexthink,"Takeda Pharmaceutical Company Ltd","See More","Novartis Consumer Health"
2015-05-28,,,5,11,6,,5,,5
2015-05-28,,,5,11,6,,5,,5
2015-05-29,,,,11,6,,5,,5
2015-05-30,,,,11,6,,5,,6
2015-05-31,,,,11,6,,5,,6
2015-06-01,,,,11,6,,5,,6
2015-06-02,,,,11,6,,5,,6
2015-06-03,,,5,11,6,,5,,7
2015-06-04,,7,9,11,6,,5,5,7
2015-06-05,8,7,9,10,6,,5,5,
2015-06-06,8,7,9,10,6,,5,5,
2015-06-07,8,7,9,10,6,,5,5,
2015-06-08,8,7,7,10,6,,5,5,
2015-06-09,9,7,10,10,6,,5,5,
2015-06-10,11,7,8,8,6,,5,5,
2015-06-11,11,7,8,7,5,,5,5,
2015-06-12,11,7,9,7,5,,5,5,
2015-06-13,11,7,9,7,6,,5,5,
2015-06-14,11,7,9,7,6,,5,5,
2015-06-15,11,7,9,6,6,,5,5,
2015-06-16,10,7,7,5,6,,5,5,
2015-06-17,9,6,9,5,6,,5,5,
2015-06-18,9,8,6,5,6,,5,5,
2015-06-19,9,8,6,5,6,,5,5,
2015-06-20,9,8,6,5,6,,5,5,
2015-06-21,9,8,6,5,6,,5,5,
2015-06-22,9,8,7,6,6,,5,5,
2015-06-23,9,8,9,6,6,,5,5,
2015-06-24,9,8,8,6,6,,5,5,
2015-06-25,9,8,8,6,6,,5,5,
2015-06-26,9,8,9,6,6,5,5,5,
2015-06-27,9,8,9,6,6,5,5,5,
2015-06-28,9,8,9,6,6,5,5,5,
2015-06-29,10,8,8,6,6,5,5,5,
