date,Deloitte,"Modis Italia",Siemens,"RGI Group",Hivejobs,"Experis Italia","Adecco Italia",Experis,"See More","A.O.R. San Carlo di Potenza","Azienda Unita&#39; Sanitaria Locale Umbria 1","Ministero delle Infrastrutture e Trasporti","AZIENDA U.L.S.S. 15 ALTA PADOVANA","Autorità di Bacino del Fiume Arno","INNOVATION DIGITAL LIMITED","University of Florence","Westhouse Group","Consiglio Nazionale delle Ricerche","COMUNE DI LIVORNO",Avanade,"Regione Toscana","Comune di Bologna",Accenture,IRPET,"Concordia BV","Subito.it (Schibsted Media Group)","Randstad Italia","Mattioli Group Pty Ltd","Settore Q","Banca Profilo","Confidential Company - Undisclosed","ItAli Airlines S.p.A."
2015-05-28,11,,,,,,,,7,61,56,43,42,16,,10,11,10,10,,7,7,,,,,96,,,17,,11
2015-05-29,11,,,,,,,,7,60,56,44,39,16,,10,11,10,10,,7,7,,,,,93,,,16,,11
2015-05-30,11,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,11,,,,,,,,7,60,56,44,42,16,,11,11,9,10,,7,7,,,,,95,,,17,,10
2015-06-01,11,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,11,,,,,7,,,7,59,55,44,43,16,,11,11,9,10,,7,7,,,,,93,,,13,,
2015-06-03,11,,,,,,,,7,60,55,45,42,16,,11,11,10,10,10,7,,,7,,,89,,,12,,
2015-06-04,,7,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,10,,,,,,,,7,59,55,44,40,17,,11,11,10,10,10,7,7,,,,,77,,,9,,
2015-06-06,,6,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,,6,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,14,6,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,14,,,,,10,,,9,60,54,41,40,17,,11,11,10,9,10,,,,,,,71,,9,,11,
2015-06-10,14,,,,,8,,,8,57,53,42,42,17,,11,11,10,10,10,,,,,,,69,,9,9,,
2015-06-11,14,,,,,,,,9,57,53,42,42,17,,11,10,10,10,10,,,,,10,,63,9,9,,,
2015-06-12,11,9,,,,,,,9,61,54,43,43,17,,11,10,10,9,11,,,,,10,,63,9,,,,
2015-06-13,11,9,,,,,,,9,61,54,43,43,17,,11,10,10,9,11,,,,,10,,63,9,,,,
2015-06-14,10,9,6,,,8,7,,5,,,,,,,,,,,,,,,,,5,,,,,,
2015-06-15,10,10,6,,,8,7,,5,,,,,,,,,,,,,,,,,5,,,,,,
2015-06-16,11,10,6,,,8,7,,5,,,,,,,,,,,,,,,,,5,,,,,,
2015-06-17,11,11,6,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,11,12,6,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,11,12,,,,8,,,8,61,55,44,41,17,12,10,10,10,10,9,,,,,10,,,,,,,
2015-06-20,11,12,6,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,11,12,6,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,11,12,,,,,,,7,60,54,45,39,16,12,11,10,10,10,9,7,,,,10,,,,,,,
2015-06-23,11,13,,,,,,,7,60,54,45,39,16,12,11,10,10,10,9,7,,,,10,,,,,,,
2015-06-24,11,13,6,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,11,13,6,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,11,13,,,,,,,7,57,52,45,43,17,15,11,11,10,10,9,7,7,,,,,,,,,,
2015-06-27,10,13,,,,,,,7,62,52,44,40,16,12,11,11,10,10,9,,7,,7,,,,,,,,
2015-06-28,11,13,6,,,6,5,5,5,,,,,,,,,,,,,,6,,,,,,,,,
2015-06-29,11,13,6,,,6,6,5,5,,,,,,,,,,,,,,6,,,,,,,,,
2015-06-30,11,13,,,,,,,7,61,51,43,42,16,12,11,11,10,10,9,7,7,,,,,,,,,,
2015-07-01,11,15,,,,,,,7,62,51,45,42,17,12,11,11,10,10,9,7,7,,,,,,,,,,
2015-07-02,11,16,6,,,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,11,15,6,,,7,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,11,14,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,11,13,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,11,14,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,11,14,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,11,12,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,11,11,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,11,11,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,11,11,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,11,10,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,11,10,5,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,12,10,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,11,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,12,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,12,9,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,12,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,12,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,12,9,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
