date,Maschinenlernen,"Soziale Netzwerkanalyse",Schlussfolgerung,Denken,"Process Mining"
2015-05-27,0,0,2,5190,0
2015-05-27,0,0,2,5083,0
2015-05-28,0,0,2,5023,0
2015-05-28,0,0,2,5092,0
2015-05-29,0,0,2,5374,0
2015-05-30,0,0,0,5459,0
2015-05-31,0,0,0,5442,0
2015-06-01,0,0,0,5556,0
2015-06-02,0,0,2,5302,0
2015-06-03,0,0,2,6013,0
2015-06-04,2,0,2,5881,0
2015-06-05,0,0,2,5584,0
2015-06-06,2,0,2,5739,0
2015-06-07,2,0,3,5561,0
2015-06-08,2,0,3,5508,0
2015-06-09,2,0,3,5888,0
2015-06-10,0,0,3,5706,0
2015-06-11,2,0,3,6395,0
2015-06-12,2,0,3,6273,0
