date,databaser,"data management",datateknologi,"data mining",dataformater,"koblet data","informasjon utvinning","stream prosessering"
2015-05-28,5,7,0,0,0,0,0,0
2015-05-29,5,7,0,0,0,0,0,0
2015-05-30,5,7,0,0,0,0,0,0
2015-05-31,5,7,0,0,0,0,0,0
2015-06-01,4,6,0,0,0,0,0,0
2015-06-02,3,5,0,0,0,0,0,0
2015-06-03,3,5,0,0,0,0,0,0
2015-06-04,4,5,0,0,0,0,0,0
2015-06-05,5,5,0,0,0,0,0,0
2015-06-06,5,5,0,0,0,0,0,0
2015-06-07,5,5,0,0,0,0,0,0
2015-06-08,5,5,0,0,0,0,0,0
2015-06-09,5,5,0,0,0,0,0,0
2015-06-10,4,4,0,0,0,0,0,0
2015-06-11,5,4,0,0,0,0,0,0
2015-06-12,4,4,0,2,0,0,0,0
