date,"baze de date","de gestionare a datelor","Tehnica de date","data mining","formate de date","Date legate de","extragerea de informații","prelucrare flux"
2015-05-28,2,0,0,4,0,0,0,0
2015-05-29,2,0,0,3,0,0,0,0
2015-05-30,2,0,0,3,0,0,0,0
2015-05-31,2,0,0,3,0,0,0,0
2015-06-01,2,0,0,3,0,0,0,0
2015-06-02,2,0,0,3,0,0,0,0
2015-06-03,2,0,0,3,0,0,0,0
2015-06-04,2,0,0,3,0,0,0,0
2015-06-05,2,0,0,3,0,0,0,0
2015-06-06,2,0,0,3,0,0,0,0
2015-06-07,2,0,0,3,0,0,0,0
2015-06-08,2,0,0,3,0,0,0,0
2015-06-09,0,0,0,3,0,0,0,0
2015-06-10,0,0,0,3,0,0,0,0
2015-06-11,2,0,0,3,0,0,0,0
2015-06-12,3,0,0,3,0,0,0,0
2015-06-13,3,0,0,3,0,0,0,0
2015-06-14,3,0,0,3,0,0,0,0
2015-06-15,3,0,0,3,0,0,0,0
2015-06-16,3,0,0,3,0,0,0,0
2015-06-17,4,0,0,3,0,0,0,0
2015-06-18,4,0,0,3,0,0,0,0
2015-06-19,4,0,0,4,0,0,0,0
2015-06-20,5,0,0,4,0,0,0,0
2015-06-21,5,0,0,4,0,0,0,0
2015-06-22,5,0,0,5,0,0,0,0
2015-06-23,5,0,0,5,0,0,0,0
2015-06-24,4,0,0,5,0,0,0,0
2015-06-25,4,0,0,5,0,0,0,0
2015-06-26,4,0,0,5,0,0,0,0
2015-06-27,4,0,0,5,0,0,0,0
2015-06-28,4,0,0,5,0,0,0,0
2015-06-29,4,0,0,5,0,0,0,0
2015-06-30,4,0,0,5,0,0,0,0
2015-07-01,4,0,0,5,0,0,0,0
2015-07-02,4,0,0,5,0,0,0,0
2015-07-03,5,0,0,4,0,0,0,0
2015-07-04,5,0,0,4,0,0,0,0
2015-07-05,5,0,0,4,0,0,0,0
2015-07-07,5,0,0,5,0,0,0,0
2015-07-08,5,0,0,7,0,0,0,0
2015-07-09,5,0,0,8,0,0,0,0
2015-07-10,7,0,0,9,0,0,0,0
2015-07-11,6,0,0,9,0,0,0,0
2015-07-12,5,0,0,9,0,0,0,0
2015-07-13,5,0,0,11,0,0,0,0
2015-07-14,5,0,0,11,0,0,0,0
2015-07-15,5,0,0,14,0,0,0,0
2015-07-16,5,0,0,15,0,0,0,0
2015-07-17,4,0,0,15,0,0,0,0
