date,databases,"ġestjoni tad-data","inġinerija data","data mining","format tad-data","data marbuta","estrazzjoni informazzjoni","ipproċessar stream"
2015-05-28,3,0,0,0,0,0,0,0
2015-05-29,5,0,0,0,0,0,0,0
2015-05-30,5,0,0,0,0,0,0,0
2015-05-31,5,0,0,0,0,0,0,0
2015-06-01,5,0,0,0,0,0,0,0
2015-06-02,5,0,0,0,0,0,0,0
2015-06-03,5,0,0,0,0,0,0,0
2015-06-04,7,0,0,0,0,0,0,0
2015-06-05,8,0,0,0,0,0,0,0
2015-06-06,8,0,0,0,0,0,0,0
2015-06-07,7,0,0,0,0,0,0,0
2015-06-08,8,0,0,0,0,0,0,0
2015-06-09,9,0,0,0,0,0,0,0
2015-06-10,9,0,0,0,0,0,0,0
2015-06-11,11,0,0,0,0,0,0,0
2015-06-12,13,0,0,0,0,0,0,0
2015-06-13,13,0,0,0,0,0,0,0
2015-06-14,13,0,0,0,0,0,0,0
2015-06-15,13,0,0,0,0,0,0,0
2015-06-16,14,0,0,0,0,0,0,0
2015-06-17,14,0,0,0,0,0,0,0
2015-06-18,14,0,0,0,0,0,0,0
2015-06-19,12,0,0,0,0,0,0,0
2015-06-20,12,0,0,0,0,0,0,0
2015-06-21,12,0,0,0,0,0,0,0
2015-06-22,13,0,0,0,0,0,0,0
2015-06-23,14,0,0,0,0,0,0,0
2015-06-24,13,0,0,0,0,0,0,0
2015-06-25,14,0,0,0,0,0,0,0
2015-06-26,15,0,0,0,0,0,0,0
2015-06-27,15,0,0,0,0,0,0,0
2015-06-28,13,0,0,0,0,0,0,0
2015-06-29,13,0,0,0,0,0,0,0
2015-06-30,13,0,0,0,0,0,0,0
2015-07-01,14,0,0,0,0,0,0,0
2015-07-02,14,0,0,0,0,0,0,0
2015-07-03,14,0,0,0,0,0,0,0
2015-07-04,13,0,0,0,0,0,0,0
2015-07-05,13,0,0,0,0,0,0,0
2015-07-07,11,0,0,0,0,0,0,0
2015-07-08,13,0,0,0,0,0,0,0
2015-07-09,12,0,0,0,0,0,0,0
2015-07-10,13,0,0,0,0,0,0,0
2015-07-11,12,0,0,0,0,0,0,0
2015-07-12,10,0,0,0,0,0,0,0
2015-07-13,7,0,0,0,0,0,0,0
2015-07-14,7,0,0,0,0,0,0,0
2015-07-15,6,0,0,0,0,0,0,0
2015-07-16,5,0,0,0,0,0,0,0
2015-07-17,4,0,0,0,0,0,0,0
2015-07-18,4,0,0,0,0,0,0,0
2015-07-19,4,0,0,0,0,0,0,0
2015-07-20,5,0,0,0,0,0,0,0
2015-07-21,5,0,0,0,0,0,0,0
2015-07-22,5,0,0,0,0,0,0,0
2015-07-23,6,0,0,0,0,0,0,0
2015-07-24,0,0,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0,0,0
2015-07-28,6,0,0,0,0,0,0,0
2015-07-29,0,0,0,0,0,0,0,0
2015-07-30,0,0,0,0,0,0,0,0
