date,"Bazat e të dhënave","menaxhimin e të dhënave","inxhinieri dhënave","të dhënat e minierave","Formatet e të dhënave","të dhënat e lidhura","nxjerrjes informacion","përpunimit lumë"
2015-05-28,0,0,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0,0,0
2015-06-03,0,0,0,0,0,0,0,0
2015-06-04,0,0,0,0,0,0,0,0
2015-06-05,0,0,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0,0,0
2015-06-08,0,0,0,0,0,0,0,0
2015-06-09,0,0,0,0,0,0,0,0
2015-06-10,0,0,0,0,0,0,0,0
