date,Datenvisualisierung,Infografiken,Zusammenspiel,Datenmapping,"Daten Geschichten",Datenjournalismus,d3js,Gemälde
2015-05-27,22,7,272,0,0,0,0,0
2015-05-27,21,7,263,0,0,0,0,0
2015-05-28,22,7,264,0,0,0,0,0
2015-05-28,23,7,270,0,0,0,0,0
2015-05-29,26,7,272,0,0,0,0,0
2015-05-30,25,6,280,0,0,0,0,0
2015-05-31,26,6,277,0,0,0,0,0
2015-06-01,25,8,283,0,0,0,0,0
2015-06-02,24,8,279,0,0,0,0,0
2015-06-03,24,8,270,0,0,0,0,0
2015-06-04,22,6,211,0,0,0,0,0
2015-06-05,21,6,157,0,0,0,0,0
2015-06-06,22,6,163,0,0,0,0,2
2015-06-07,23,7,150,0,0,0,0,0
2015-06-08,23,7,150,0,0,0,0,2
2015-06-09,23,8,244,0,0,0,0,2
2015-06-10,23,9,235,0,0,0,0,2
2015-06-11,22,9,268,0,0,0,0,2
2015-06-12,20,9,265,0,0,0,0,2
2015-06-13,17,9,264,0,0,0,0,2
2015-06-14,18,8,268,0,0,0,0,2
2015-06-15,19,7,263,0,0,0,0,2
2015-06-16,16,7,264,0,0,0,0,2
2015-06-17,16,6,275,0,0,0,0,2
2015-06-18,16,5,191,0,0,0,0,2
2015-06-19,15,5,177,0,0,0,0,2
2015-06-20,15,5,175,0,0,0,0,2
2015-06-21,15,6,175,0,0,0,0,2
2015-06-22,15,6,167,0,0,0,0,2
2015-06-23,15,6,154,0,0,0,0,2
2015-06-24,13,5,151,0,0,0,0,2
2015-06-25,13,5,151,0,0,0,0,2
2015-06-26,14,6,155,0,0,0,0,2
2015-06-27,14,6,155,0,0,0,0,2
2015-06-28,13,6,157,0,0,0,0,2
2015-06-29,13,6,169,0,0,0,0,2
2015-06-30,12,6,153,0,0,0,0,2
2015-07-01,12,6,148,0,0,0,0,2
2015-07-02,12,6,147,0,0,0,0,2
2015-07-03,14,6,146,0,0,0,0,2
2015-07-04,14,8,146,0,0,0,0,2
2015-07-05,16,10,153,0,0,0,0,2
2015-07-06,16,10,152,0,0,0,0,2
