date,"visualización de datos",infografía,interacción,"mapeo de datos","historias de datos","periodismo de datos",d3js,cuadro
2015-05-28,5,0,63,0,0,0,0,28
2015-05-29,5,0,66,0,0,0,0,30
2015-05-30,5,0,65,0,0,0,0,25
2015-05-31,3,0,66,0,0,0,0,28
2015-06-01,4,0,67,0,0,0,0,25
2015-06-02,5,0,54,0,0,0,0,26
2015-06-03,5,0,66,0,0,0,0,27
2015-06-04,4,0,86,0,0,0,0,32
2015-06-05,5,0,84,0,0,0,0,30
2015-06-06,5,0,86,0,0,0,0,31
2015-06-07,5,0,72,0,0,0,0,31
2015-06-08,4,0,87,0,0,0,0,30
2015-06-09,5,0,89,0,0,0,0,32
2015-06-10,6,0,88,0,0,0,0,30
2015-06-11,6,0,81,0,0,0,0,29
2015-06-12,7,0,72,0,0,0,0,28
2015-06-13,6,0,73,0,0,0,0,28
