date,"visualização de dados",infográficos,interação,"mapeamento de dados","histórias de dados","jornalismo de dados",d3js,quadro
2015-05-28,0,0,4,0,0,0,0,2
2015-05-29,0,0,5,0,0,0,0,2
2015-05-30,0,0,5,0,0,0,0,2
2015-05-31,0,0,5,0,0,0,0,0
2015-06-01,0,0,5,0,0,0,0,0
2015-06-02,0,0,23,0,0,0,2,25
2015-06-03,0,0,26,0,0,0,2,34
2015-06-04,0,0,31,0,0,0,2,37
2015-06-05,0,0,47,0,0,0,2,133
2015-06-06,0,0,45,0,0,0,2,127
2015-06-07,0,0,44,0,0,0,2,129
2015-06-08,0,0,41,0,0,0,2,129
2015-06-09,0,0,42,0,0,0,0,121
2015-06-10,0,0,40,0,0,0,0,126
2015-06-11,0,0,40,0,0,0,0,117
2015-06-12,0,0,44,0,0,0,3,121
2015-06-13,4,0,48,0,0,0,3,119
2015-06-14,4,0,48,0,0,0,3,118
2015-06-15,4,0,49,0,0,0,3,116
2015-06-16,4,0,48,0,0,0,3,109
2015-06-17,4,0,52,0,0,0,3,123
2015-06-18,3,0,52,0,0,0,3,120
2015-06-19,3,0,52,0,0,0,3,119
2015-06-20,2,0,46,0,0,0,3,123
2015-06-21,2,0,47,0,0,0,3,120
2015-06-22,2,0,47,0,0,0,2,120
2015-06-23,2,0,46,0,0,0,3,124
2015-06-24,4,0,50,0,0,0,4,126
2015-06-25,4,0,51,0,0,0,3,127
2015-06-26,4,0,50,0,0,0,3,123
2015-06-27,6,0,57,0,0,0,3,133
2015-06-28,6,0,56,0,0,0,3,137
