date,Python,"προηγμένη πληροφορική",προγραμματισμός,"υπολογιστικά συστήματα",κωδικοποίησης,"Το cloud computing"
2015-05-28,2,0,0,0,0,0
2015-05-29,2,0,0,0,0,0
2015-05-30,2,0,0,0,0,0
2015-05-31,2,0,0,0,0,0
2015-06-01,2,0,0,0,0,0
2015-06-02,2,0,0,0,0,0
2015-06-03,2,0,0,0,0,0
2015-06-04,2,0,0,0,0,0
2015-06-05,2,0,0,0,0,0
2015-06-06,2,0,0,0,0,0
2015-06-07,2,0,0,0,0,0
2015-06-08,2,0,0,0,0,0
2015-06-09,2,0,0,0,0,0
2015-06-10,2,0,0,0,0,0
2015-06-11,0,0,0,0,0,0
2015-06-12,0,0,0,0,0,0
2015-06-13,0,0,0,0,0,0
2015-06-14,0,0,0,0,0,0
2015-06-15,0,0,0,0,0,0
2015-06-16,0,0,0,0,0,0
2015-06-17,0,0,0,0,0,0
2015-06-18,0,0,0,0,0,0
2015-06-19,0,0,0,0,0,0
2015-06-20,0,0,0,0,0,0
2015-06-21,0,0,0,0,0,0
2015-06-22,0,0,0,0,0,0
2015-06-23,0,0,0,0,0,0
2015-06-24,0,0,0,0,0,0
2015-06-25,0,0,0,0,0,0
2015-06-26,0,0,0,0,0,0
2015-06-27,0,0,0,0,0,0
2015-06-28,0,0,0,0,0,0
2015-06-29,0,0,0,0,0,0
