date,python,"computing avvanzat",ipprogrammar,"sistemi komputazzjonali",kodifikazzjoni,"Computing sħaba"
2015-05-28,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0
2015-06-03,0,0,0,0,0,0
2015-06-04,0,0,0,0,0,0
2015-06-05,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0
2015-06-08,0,0,0,0,0,0
2015-06-09,3,0,0,0,0,0
2015-06-10,3,0,0,0,0,0
2015-06-11,3,0,0,0,0,0
2015-06-12,2,0,0,0,0,0
2015-06-13,2,0,0,0,0,0
2015-06-14,2,0,0,0,0,0
2015-06-15,2,0,0,0,0,0
2015-06-16,2,0,0,0,0,0
2015-06-17,2,0,0,0,0,0
2015-06-18,2,0,0,0,0,0
2015-06-19,4,0,0,0,0,0
2015-06-20,4,0,0,0,0,0
2015-06-21,4,0,0,0,0,0
2015-06-22,4,0,0,0,0,0
2015-06-23,5,0,0,0,0,0
2015-06-24,5,0,0,0,0,0
2015-06-25,5,0,0,0,0,0
2015-06-26,5,0,0,0,0,0
2015-06-27,5,0,0,0,0,0
2015-06-28,5,0,0,0,0,0
2015-06-29,5,0,0,0,0,0
2015-06-30,5,0,0,0,0,0
2015-07-01,5,0,0,0,0,0
2015-07-02,0,0,0,0,0,0
2015-07-03,5,0,0,0,0,0
2015-07-04,5,0,0,0,0,0
