date,pytón,"modernej výpočtovej",Programovanie,"výpočtové systémy",kódovanie,"Cloud computing"
2015-05-28,3,0,0,0,0,0
2015-05-29,3,0,0,0,0,0
2015-05-30,3,0,0,0,0,0
2015-05-31,3,0,0,0,0,0
2015-06-01,3,0,0,0,0,0
2015-06-02,3,0,0,0,0,0
2015-06-03,3,0,0,0,0,0
2015-06-04,3,0,0,0,0,0
2015-06-05,4,0,0,0,0,0
2015-06-06,4,0,0,0,0,0
2015-06-07,4,0,0,0,0,0
2015-06-08,4,0,0,0,0,0
2015-06-09,4,0,0,0,0,0
2015-06-10,5,0,0,0,0,0
2015-06-11,5,0,0,0,0,0
2015-06-12,3,0,0,0,0,0
2015-06-13,3,0,0,0,0,0
2015-06-14,3,0,0,0,0,0
2015-06-15,5,0,0,0,0,0
2015-06-16,5,0,0,0,0,0
2015-06-17,7,0,0,0,0,0
2015-06-18,9,0,0,0,0,0
2015-06-19,9,0,0,0,0,0
2015-06-20,9,0,0,0,0,0
2015-06-21,9,0,0,0,0,0
2015-06-22,9,0,0,0,0,0
2015-06-23,9,0,0,0,0,0
2015-06-24,10,0,0,0,0,0
2015-06-25,11,0,0,0,0,0
2015-06-26,11,0,0,0,0,2
2015-06-27,11,0,0,0,0,2
2015-06-28,11,0,0,0,0,2
2015-06-29,11,0,0,0,0,4
2015-06-30,11,0,0,0,0,5
2015-07-01,11,0,0,0,0,5
2015-07-02,0,0,0,0,0,7
2015-07-03,0,0,0,0,0,7
2015-07-04,0,0,0,0,0,7
2015-07-05,0,0,0,0,0,7
2015-07-07,0,0,0,0,0,7
2015-07-08,0,0,0,0,0,8
2015-07-09,0,0,0,0,0,9
2015-07-10,0,0,0,0,0,10
2015-07-11,0,0,0,0,0,8
2015-07-12,0,0,0,0,0,8
2015-07-13,0,0,0,0,0,8
2015-07-14,0,0,0,0,0,7
2015-07-15,0,0,0,0,0,7
2015-07-16,0,0,0,0,0,8
2015-07-17,0,0,0,0,0,9
2015-07-18,0,0,0,0,0,9
2015-07-19,0,0,0,0,0,9
2015-07-20,0,0,0,0,0,9
