date,"data science","big data","open data"
2015-05-28,2,17,0
2015-05-29,0,18,0
2015-05-30,0,18,0
2015-05-31,0,18,0
2015-06-01,0,15,0
2015-06-02,0,15,0
2015-06-03,0,14,0
2015-06-04,0,14,0
2015-06-05,0,14,0
2015-06-06,0,14,0
2015-06-07,0,14,0
2015-06-08,0,14,0
2015-06-09,0,15,0
2015-06-10,0,16,0
2015-06-11,0,13,0
2015-06-12,0,13,0
2015-06-13,0,13,0
2015-06-14,0,13,0
2015-06-15,0,12,0
2015-06-16,0,11,0
2015-06-17,0,11,0
2015-06-18,0,11,0
2015-06-19,0,11,0
2015-06-20,0,10,0
2015-06-21,0,9,0
2015-06-22,0,9,0
2015-06-23,0,9,0
2015-06-24,0,9,0
2015-06-25,0,10,0
2015-06-26,0,11,0
2015-06-27,0,16,0
2015-06-28,0,17,0
2015-06-29,0,17,0
2015-06-30,0,17,0
2015-07-01,0,17,0
2015-07-02,0,19,0
2015-07-03,0,19,0
2015-07-04,0,19,0
2015-07-05,0,20,0
2015-07-06,0,22,0
2015-07-07,0,22,0
2015-07-08,0,23,0
2015-07-09,0,24,0
2015-07-10,0,24,0
2015-07-11,0,22,0
2015-07-12,0,21,0
2015-07-13,0,21,0
2015-07-14,0,23,0
2015-07-15,0,24,0
2015-07-16,0,24,0
2015-07-17,0,21,0
2015-07-18,0,21,0
2015-07-19,0,20,0
2015-07-20,0,20,0
2015-07-21,0,20,0
2015-07-22,0,20,0
2015-07-23,0,20,0
2015-07-24,0,0,0
2015-07-25,0,0,0
2015-07-26,0,0,0
2015-07-27,0,0,0
2015-07-28,0,0,0
2015-07-29,0,0,0
2015-07-30,0,0,0
